2021-04-07 10:06:18 DEBUG   80.14.144.101   - This is an already logged session. _SESSION['dol_login']=deguene _SESSION['dol_entity']=1
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT u.rowid, u.lastname, u.firstname, u.employee, u.gender, u.birth, u.email, u.personal_email, u.job, u.socialnetworks, u.signature, u.office_phone, u.office_fax, u.user_mobile, u.personal_mobile, u.address, u.zip, u.town, u.fk_state as state_id, u.fk_country as country_id, u.admin, u.login, u.note as note_private, u.note_public, u.pass, u.pass_crypted, u.pass_temp, u.api_key, u.fk_soc, u.fk_socpeople, u.fk_member, u.fk_user, u.ldap_sid, u.fk_user_expense_validator, u.fk_user_holiday_validator, u.statut, u.lang, u.entity, u.datec as datec, u.tms as datem, u.datelastlogin as datel, u.datepreviouslogin as datep, u.photo as photo, u.openid as openid, u.accountancy_code, u.thm, u.tjm, u.salary, u.salaryextra, u.weeklyhours, u.color, u.dateemployment, u.dateemploymentend, u.fk_warehouse, u.ref_ext, u.default_range, u.default_c_exp_tax_cat, c.code as country_code, c.label as country, d.code_departement as state_code, d.nom as state FROM llx_user as u LEFT JOIN llx_c_country as c ON u.fk_country = c.rowid LEFT JOIN llx_c_departements as d ON u.fk_state = d.rowid WHERE u.entity IN (0, 1) AND u.login = 'deguene' ORDER BY u.entity ASC
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT rowid,name,label,type,size,elementtype,fieldunique,fieldrequired,param,pos,alwayseditable,perms,langs,list,printable,totalizable,fielddefault,fieldcomputed,entity,enabled,help FROM llx_extrafields WHERE elementtype = 'user' ORDER BY pos
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT param, value FROM llx_user_param WHERE fk_user = 78 AND entity = 1
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT rowid, entity, type, page, param, value FROM llx_default_values WHERE entity IN (1, 1) AND user_id IN (0, 78)
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT DISTINCT r.module, r.perms, r.subperms FROM llx_user_rights as ur, llx_rights_def as r WHERE r.id = ur.fk_id AND ur.entity = 1 AND ur.fk_user= 78 AND r.perms IS NOT NULL
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT DISTINCT r.module, r.perms, r.subperms FROM llx_usergroup_rights as gr, llx_usergroup_user as gu, llx_rights_def as r WHERE r.id = gr.fk_id AND gr.entity = 1 AND gu.entity = 1 AND r.entity = 1 AND gr.fk_usergroup = gu.fk_usergroup AND gu.fk_user = 78 AND r.perms IS NOT NULL
2021-04-07 10:06:19 INFO    80.14.144.101   --- Access to /compta/facture/list.php - action=list, massaction=0
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT transkey, transvalue FROM llx_overwrite_trans where lang='fr_FR' OR lang IS NULL AND entity IN (0, 1) ORDER BY lang DESC
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT m.rowid, m.type, m.module, m.fk_menu, m.fk_mainmenu, m.fk_leftmenu, m.url, m.titre, m.langs, m.perms, m.enabled, m.target, m.mainmenu, m.leftmenu, m.position FROM llx_menu as m WHERE m.entity IN (0,1) AND m.menu_handler IN ('eldy','all') AND m.usertype IN (0,2) ORDER BY m.position, m.rowid
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT rowid,name,label,type,size,elementtype,fieldunique,fieldrequired,param,pos,alwayseditable,perms,langs,list,printable,totalizable,fielddefault,fieldcomputed,entity,enabled,help FROM llx_extrafields WHERE elementtype = 'facture' ORDER BY pos
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT fk_usergroup FROM `llx_usergroup_user` WHERE fk_user=78
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT f.rowid as id, f.ref, f.ref_client, f.type, f.note_private, f.note_public, f.increment, f.fk_mode_reglement, f.fk_cond_reglement, f.total as total_ht, f.tva as total_vat, f.total_ttc, f.localtax1 as total_localtax1, f.localtax2 as total_localtax2, f.fk_user_author, f.fk_multicurrency, f.multicurrency_code, f.multicurrency_tx, f.multicurrency_total_ht, f.multicurrency_total_tva as multicurrency_total_vat, f.multicurrency_total_ttc, f.datef as df, f.date_valid, f.date_lim_reglement as datelimite, f.module_source, f.pos_source, f.paye as paye, f.fk_statut, f.close_code, f.datec as date_creation, f.tms as date_update, f.date_closing as date_closing, f.retained_warranty, f.retained_warranty_date_limit, f.situation_final, f.situation_cycle_ref, f.situation_counter, s.rowid as socid, s.nom as name, s.email, s.town, s.zip, s.fk_pays, s.client, s.fournisseur, s.code_client, s.code_fournisseur, s.code_compta as code_compta_client, s.code_compta_fournisseur, typent.code as typent_code, state.code_departement as state_code, state.nom as state_name, country.code as country_code, p.rowid as project_id, p.ref as project_ref, p.title as project_label, u.login, scc.fk_user as fk_user, SUM(pf.amount) as dynamount_payed, SUM(pf.multicurrency_amount) as multicurrency_dynamount_payed FROM llx_societe as s LEFT JOIN llx_societe_commerciaux as scc on (scc.fk_soc = s.rowid) LEFT JOIN llx_c_country as country on (country.rowid = s.fk_pays) LEFT JOIN llx_c_typent as typent on (typent.id = s.fk_typent) LEFT JOIN llx_c_departements as state on (state.rowid = s.fk_departement), llx_facture as f LEFT JOIN llx_paiement_facture as pf ON pf.fk_facture = f.rowid LEFT JOIN llx_projet as p ON p.rowid = f.fk_projet LEFT JOIN llx_user AS u ON f.fk_user_author = u.rowid WHERE f.fk_soc = s.rowid AND f.entity IN (1) AND (s.nom LIKE '%k%' AND s.nom LIKE '%2%' AND s.nom LIKE '%bordeaux%') GROUP BY f.rowid, f.ref, ref_client, f.type, f.note_private, f.note_public, f.increment, f.fk_mode_reglement, f.fk_cond_reglement, f.total, f.tva, f.total_ttc, f.localtax1, f.localtax2, f.datef, f.date_valid, f.date_lim_reglement, f.module_source, f.pos_source, f.paye, f.fk_statut, f.close_code, f.datec, f.tms, f.date_closing, f.retained_warranty, f.retained_warranty_date_limit, f.situation_final, f.situation_cycle_ref, f.situation_counter, s.rowid, s.nom, s.email, s.town, s.zip, s.fk_pays, s.client, s.fournisseur, s.code_client, s.code_fournisseur, s.code_compta, s.code_compta_fournisseur, typent.code, state.code_departement, state.nom, country.code, p.rowid, p.ref, p.title ORDER BY f.datef DESC, f.rowid DESC
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT f.rowid as id, f.ref, f.ref_client, f.type, f.note_private, f.note_public, f.increment, f.fk_mode_reglement, f.fk_cond_reglement, f.total as total_ht, f.tva as total_vat, f.total_ttc, f.localtax1 as total_localtax1, f.localtax2 as total_localtax2, f.fk_user_author, f.fk_multicurrency, f.multicurrency_code, f.multicurrency_tx, f.multicurrency_total_ht, f.multicurrency_total_tva as multicurrency_total_vat, f.multicurrency_total_ttc, f.datef as df, f.date_valid, f.date_lim_reglement as datelimite, f.module_source, f.pos_source, f.paye as paye, f.fk_statut, f.close_code, f.datec as date_creation, f.tms as date_update, f.date_closing as date_closing, f.retained_warranty, f.retained_warranty_date_limit, f.situation_final, f.situation_cycle_ref, f.situation_counter, s.rowid as socid, s.nom as name, s.email, s.town, s.zip, s.fk_pays, s.client, s.fournisseur, s.code_client, s.code_fournisseur, s.code_compta as code_compta_client, s.code_compta_fournisseur, typent.code as typent_code, state.code_departement as state_code, state.nom as state_name, country.code as country_code, p.rowid as project_id, p.ref as project_ref, p.title as project_label, u.login, scc.fk_user as fk_user, SUM(pf.amount) as dynamount_payed, SUM(pf.multicurrency_amount) as multicurrency_dynamount_payed FROM llx_societe as s LEFT JOIN llx_societe_commerciaux as scc on (scc.fk_soc = s.rowid) LEFT JOIN llx_c_country as country on (country.rowid = s.fk_pays) LEFT JOIN llx_c_typent as typent on (typent.id = s.fk_typent) LEFT JOIN llx_c_departements as state on (state.rowid = s.fk_departement), llx_facture as f LEFT JOIN llx_paiement_facture as pf ON pf.fk_facture = f.rowid LEFT JOIN llx_projet as p ON p.rowid = f.fk_projet LEFT JOIN llx_user AS u ON f.fk_user_author = u.rowid WHERE f.fk_soc = s.rowid AND f.entity IN (1) AND (s.nom LIKE '%k%' AND s.nom LIKE '%2%' AND s.nom LIKE '%bordeaux%') GROUP BY f.rowid, f.ref, ref_client, f.type, f.note_private, f.note_public, f.increment, f.fk_mode_reglement, f.fk_cond_reglement, f.total, f.tva, f.total_ttc, f.localtax1, f.localtax2, f.datef, f.date_valid, f.date_lim_reglement, f.module_source, f.pos_source, f.paye, f.fk_statut, f.close_code, f.datec, f.tms, f.date_closing, f.retained_warranty, f.retained_warranty_date_limit, f.situation_final, f.situation_cycle_ref, f.situation_counter, s.rowid, s.nom, s.email, s.town, s.zip, s.fk_pays, s.client, s.fournisseur, s.code_client, s.code_fournisseur, s.code_compta, s.code_compta_fournisseur, typent.code, state.code_departement, state.nom, country.code, p.rowid, p.ref, p.title ORDER BY f.datef DESC, f.rowid DESC  LIMIT 21
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT t.localtax1, t.localtax2 FROM llx_c_tva as t, llx_c_country as c WHERE t.fk_pays = c.rowid AND c.code = 'FR' AND t.active = 1 AND t.localtax1_type <> '0'
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT t.localtax1, t.localtax2 FROM llx_c_tva as t, llx_c_country as c WHERE t.fk_pays = c.rowid AND c.code = 'FR' AND t.active = 1 AND t.localtax2_type <> '0'
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT u.rowid, u.lastname, u.firstname, u.statut, u.login FROM llx_user as u WHERE u.entity IN (0,1) ORDER BY statut DESC, lastname ASC
2021-04-07 10:06:19 DEBUG   80.14.144.101   Form::select_dolusers
2021-04-07 10:06:19 DEBUG   80.14.144.101   sql=SELECT DISTINCT u.rowid, u.lastname as lastname, u.firstname, u.statut, u.login, u.admin, u.entity FROM llx_user as u WHERE u.entity IN (0,1) ORDER BY u.firstname ASC
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::load_motherof
2021-04-07 10:06:20 DEBUG   80.14.144.101   sql=SELECT fk_parent as id_parent, rowid as id_son FROM llx_categorie WHERE fk_parent != 0 AND entity IN (1)
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::get_full_arbo get category list
2021-04-07 10:06:20 DEBUG   80.14.144.101   sql=SELECT DISTINCT c.rowid, c.label, c.description, c.color, c.fk_parent, c.visible FROM llx_categorie as c WHERE c.entity IN (1) AND c.type = 0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::get_full_arbo call to build_path_from_id_categ
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=101 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=102 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=103 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=104 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=106 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=108 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=109 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=110 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=111 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=113 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=116 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=117 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=118 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=119 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=120 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=121 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=122 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=123 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=124 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=125 protection=0
2021-04-07 10:06:20 DEBUG   80.14.144.101   Categorie::build_path_from_id_categ id_categ=126 protection=0
